algorithm,label,seed,reward,fps,frames,duration_s,filename,source_notebook,notes
PPO V9,worst,599310825,911.2,15,222,14.8,media/videos/PPO_V9_worst_seed599310825_r911_clean.mp4,notebooks/Final_PPO_Baseline_CarRacing_v3.ipynb,extracted from embedded notebook output; model=best_model
PPO V9,worst,123,913.4,15,217,14.5,media/videos/PPO_V9_worst_seed123_r913_clean.mp4,notebooks/Final_PPO_Baseline_CarRacing_v3.ipynb,extracted from embedded notebook output; model=best_model
PPO V9,worst,1051802512,918.4,15,204,13.6,media/videos/PPO_V9_worst_seed1051802512_r918_clean.mp4,notebooks/Final_PPO_Baseline_CarRacing_v3.ipynb,extracted from embedded notebook output; model=best_model
PPO V9,best,107420369,932.9,15,168,11.2,media/videos/PPO_V9_best_seed107420369_r933_clean.mp4,notebooks/Final_PPO_Baseline_CarRacing_v3.ipynb,extracted from embedded notebook output; model=best_model
PPO V9,best,1181241943,933.0,15,168,11.2,media/videos/PPO_V9_best_seed1181241943_r933_clean.mp4,notebooks/Final_PPO_Baseline_CarRacing_v3.ipynb,extracted from embedded notebook output; model=best_model
PPO V9,best,136505587,936.0,15,160,10.7,media/videos/PPO_V9_best_seed136505587_r936_clean.mp4,notebooks/Final_PPO_Baseline_CarRacing_v3.ipynb,extracted from embedded notebook output; model=best_model
SAC V11.1,worst,599310825,908.7,30,229,7.6,media/videos/SAC_V11_1_worst_seed599310825_r909_clean.mp4,notebooks/Final_SAC_Fast_Result_CarRacing_v3.ipynb,extracted from embedded notebook output; model=best_model
SAC V11.1,worst,123,911.0,30,223,7.4,media/videos/SAC_V11_1_worst_seed123_r911_clean.mp4,notebooks/Final_SAC_Fast_Result_CarRacing_v3.ipynb,extracted from embedded notebook output; model=best_model
SAC V11.1,worst,1051802512,914.4,30,214,7.1,media/videos/SAC_V11_1_worst_seed1051802512_r914_clean.mp4,notebooks/Final_SAC_Fast_Result_CarRacing_v3.ipynb,extracted from embedded notebook output; model=best_model
SAC V11.1,best,1181241943,931.1,30,173,5.8,media/videos/SAC_V11_1_best_seed1181241943_r931_clean.mp4,notebooks/Final_SAC_Fast_Result_CarRacing_v3.ipynb,extracted from embedded notebook output; model=best_model
SAC V11.1,best,107420369,933.3,30,167,5.6,media/videos/SAC_V11_1_best_seed107420369_r933_clean.mp4,notebooks/Final_SAC_Fast_Result_CarRacing_v3.ipynb,extracted from embedded notebook output; model=best_model
SAC V11.1,best,136505587,933.7,30,166,5.5,media/videos/SAC_V11_1_best_seed136505587_r934_clean.mp4,notebooks/Final_SAC_Fast_Result_CarRacing_v3.ipynb,extracted from embedded notebook output; model=best_model
